aapl	320193
msft	789019
googl	1652044
amzn	1018724
tsla	1318605
brk-b	1067983
fb	1326801
nvda	1045810
tsm	1046179
unh	731766
jnj	200406
cnttq	1652499
wmt	104169
pg	80424
spy	884394
xom	34088
jpm	19617
ma	1141391
lvmuy	824046
hd	354950
cvx	93410
bac	70858
lly	59478
ko	21344
baba	1577552
pfe	78003
abbv	1551152
nvo	353278
tm	1094517
avgo	1730168
cost	909832
pep	77476
asml	937966
mrk	310158
tmo	97745
csco	858877
dis	1744489
azn	901832
nke	320187
abt	1800
orcl	1341439
nvs	1114448
vz	732712
adbe	796343
acn	1467373
cmcsa	1166691
mcd	63908
intc	50863
dhr	313616
crm	1108524
wfc	72971
bhp	811809
bmy	14272
asti	1350102
qcom	804328
txn	97476
lin	1707925
tmus	1283699
ups	1090727
pm	1413329
unp	100885
ms	895421
ptr	1108329
ry	1000275
rtx	101829
mdt	1613103
nee	753308
low	60667
t	732717
hon	773840
sny	1121404
axp	4962
td	947263
tte	879764
amgn	318154
schw	316709
cvs	64803
cop	1163165
rtntf	887028
hsbc	1089113
qqq	1067839
sap	1000184
intu	896878
antm	1156039
ibm	51143
lmt	936468
de	315189
ul	217410
rio	863064
deo	835403
cat	18230
pld	1045609
gsk	1131399
eqnr	1140625
tgt	27419
amt	1053507
sony	313838
pypl	1633917
amd	2488
jd	1549802
gs	886982
hdb	1144967
mo	764180
amat	6951
bud	1668717
abnb	1559720
c	831001
now	1373715
blk	1364742
bti	1303523
bp	313807
el	1001250
adp	8670
lfc	1268896
syk	310764
bkng	1075531
mdlz	1103982
spgi	64040
nflx	1065280
cb	896159
enb	895728
ba	12927
eadsy	1378580
isrg	1035267
infy	1067491
pbr	1119639
mmm	66740
duk	1326160
cni	16868
ge	40545
zts	1555280
adi	6281
ci	1739940
glncy	1524684
mmc	62709
vale	917851
mu	723125
bam	1001085
cci	1051470
cme	1156375
so	92122
chtr	1091667
snp	1123658
mufg	67088
bns	9631
csx	277948
gild	882095
bx	1393818
tjx	109198
usb	36104
cnq	1017413
pnc	713676
shw	89800
sftby	1065521
regn	872589
dmlry	1067318
bdx	10795
pbcry	1463157
noc	1133421
bmo	927971
eog	821189
lrcx	707549
ibn	1103838
cp	16875
idexy	1438656
vrtx	875320
wm	823768
enlay	1096200
d	715957
hca	860730
ew	1099800
tfc	92230
gd	40533
ntes	1110646
pgr	80661
fisv	798354
ice	1571949
cl	21665
eqix	1101239
psa	1393311
amx	1129137
itw	49826
nsc	702165
aon	315293
cta-pa	30554
atvi	718877
abb	1091587
team	1650372
fis	1136893
bsx	885725
fcx	831259
uber	1543151
etn	1551182
ubs	1610520
mar	1048286
nem	1164727
mrna	1682852
pxd	1038357
f	37996
shop	1594805
relx	929869
ntr	1725964
panw	1327567
mco	1059556
rbgly	1420798
pdd	1737806
epd	1061219
gm	1467858
hum	49071
met	1099219
mpc	1510295
slb	87347
dg	29534
oxy	797468
snow	1640147
prndy	899108
cof	927628
emr	32604
ngg	1004315
race	1648416
atlcy	748954
su	311337
fdx	1048911
wday	1327811
apd	2969
trp	1232384
kdp	1418135
khc	1637459
sre	1032208
mrvl	1835632
meli	1099590
e	1002242
adm	7084
cm	1045520
dow	1751788
klac	319201
se	1703399
san	891478
aig	5272
sq	1512673
chgcy	1453934
aep	4904
tri	1075124
